,Songs,Artists
1502,Thunder Road,Bruce Springsteen
1503,One,U2
1504,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1505,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1506,Yesterday - Remastered,The Beatles
1507,Dancing Queen,ABBA
1508,Summertime Blues,Eddie Cochran
1509,This Charming Man - 2011 Remaster,The Smiths
1510,Blue Suede Shoes,Carl Perkins
1511,Good Times,CHIC
1512,Pyramids,Frank Ocean
1513,My Girl - Single Version/Mono,The Temptations
1514,Paint It Black,The Rolling Stones
1515,Video Games,Lana Del Rey
1516,Rehab,Amy Winehouse
1517,Rapper's Delight - Long Version,The Sugarhill Gang
1518,The Sound of Silence - Electric Version,Simon & Garfunkel
1519,Fortunate Son,Creedence Clearwater Revival
1520,Papa's Got A Brand New Bag - Pt. 1,James Brown
1521,Bridge over Troubled Water,Simon & Garfunkel
1522,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1523,Proud Mary,Creedence Clearwater Revival
1524,Every Breath You Take - Remastered 2003,The Police
1525,Maybellene - Single Version,Chuck Berry
1526,A Whiter Shade Of Pale,Procol Harum
1527,Midnight City,M83
1528,Losing My Edge,LCD Soundsystem
1529,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1530,Eight Miles High,The Byrds
1531,Born Slippy (Nuxx),Underworld
1532,Great Balls Of Fire,Jerry Lee Lewis
1533,Green Onions,Booker T. & the M.G.'s
1534,Maps,Yeah Yeah Yeahs
1535,Umbrella,Rihanna
1536,She Loves You - Remastered,The Beatles
1537,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1538,Tangled up in Blue,Bob Dylan
1539,Maggie May,Rod Stewart
1540,Will You Still Love Me Tomorrow,The Shirelles
1541,Seasons (Waiting On You),Future Islands
1542,Creep,Radiohead
1543,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1544,Paranoid,Black Sabbath
1545,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1546,Kashmir - 1990 Remaster,Led Zeppelin
1547,Walk This Way (feat. Aerosmith),Run–D.M.C.
1548,Like a Prayer,Madonna
1549,Marquee Moon - 2003 Remaster,Television
1550,Hotline Bling,Drake
1551,Live Forever,Oasis
1552,Time to Pretend,MGMT
1553,When a Man Loves a Woman,Percy Sledge
1554,Brown Sugar,The Rolling Stones
1555,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1556,Tomorrow Never Knows - Remastered,The Beatles
1557,This Land is Your Land,Woody Guthrie
1558,"Oh, Pretty Woman",Roy Orbison
1559,Jailhouse Rock,Elvis Presley
1560,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1561,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1562,Like a Virgin,Madonna
1563,Into the Groove,Madonna
1564,Let It Happen,Tame Impala
1565,Cranes in the Sky,Solange
1566,Song 2 - 2012 Remaster,Blur
1567,Purple Rain,Prince
1568,Wuthering Heights,Kate Bush
1569,Born In The U.S.A.,Bruce Springsteen
1570,Kids,MGMT
1571,"Nuthin' But A ""G"" Thang",Dr. Dre
1572,Peggy Sue - Single Version,Buddy Holly
1573,White Rabbit,Jefferson Airplane
1574,Kiss,Prince
1575,Sunday Bloody Sunday,U2
1576,Psycho Killer - 2005 Remaster,Talking Heads
1577,Tainted Love,Soft Cell
1578,Little Red Corvette,Prince
1579,Family Affair - Single Version,Sly & The Family Stone
1580,Can't Get You out of My Head,Kylie Minogue
1581,Honky Tonk Women - Mono Version,The Rolling Stones
1582,Your Best American Girl,Mitski
1583,Autobahn - 2009 Remaster,Kraftwerk
1584,My Girls,Animal Collective
1585,Eleanor Rigby - Remastered,The Beatles
1586,Get It On,T. Rex
1587,There She Goes,The La's
1588,Help! - Remastered,The Beatles
1589,House Of Jealous Lovers,The Rapture
1590,Last Nite,The Strokes
1591,Le Freak,CHIC
1592,Won't Get Fooled Again - Original Album Version,The Who
1593,In My Life - Remastered,The Beatles
1594,Hurt,Johnny Cash
1595,Ms. Jackson,Outkast
1596,Walk on By,Dionne Warwick
1597,Folsom Prison Blues,Johnny Cash
1598,Sign 'O' the Times - Single Version,Prince
1599,bad guy,Billie Eilish
1600,Heroin,The Velvet Underground
1601,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1602,Thunder Road,Bruce Springsteen
1603,One,U2
1604,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1605,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1606,Yesterday - Remastered,The Beatles
1607,Dancing Queen,ABBA
1608,Summertime Blues,Eddie Cochran
1609,This Charming Man - 2011 Remaster,The Smiths
1610,Blue Suede Shoes,Carl Perkins
1611,Good Times,CHIC
1612,Pyramids,Frank Ocean
1613,My Girl - Single Version/Mono,The Temptations
1614,Paint It Black,The Rolling Stones
1615,Video Games,Lana Del Rey
1616,Rehab,Amy Winehouse
1617,Rapper's Delight - Long Version,The Sugarhill Gang
1618,The Sound of Silence - Electric Version,Simon & Garfunkel
1619,Fortunate Son,Creedence Clearwater Revival
1620,Papa's Got A Brand New Bag - Pt. 1,James Brown
1621,Bridge over Troubled Water,Simon & Garfunkel
1622,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1623,Proud Mary,Creedence Clearwater Revival
1624,Every Breath You Take - Remastered 2003,The Police
1625,Maybellene - Single Version,Chuck Berry
1626,A Whiter Shade Of Pale,Procol Harum
1627,Midnight City,M83
1628,Losing My Edge,LCD Soundsystem
1629,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1630,Eight Miles High,The Byrds
1631,Born Slippy (Nuxx),Underworld
1632,Great Balls Of Fire,Jerry Lee Lewis
1633,Green Onions,Booker T. & the M.G.'s
1634,Maps,Yeah Yeah Yeahs
1635,Umbrella,Rihanna
1636,She Loves You - Remastered,The Beatles
1637,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1638,Tangled up in Blue,Bob Dylan
1639,Maggie May,Rod Stewart
1640,Will You Still Love Me Tomorrow,The Shirelles
1641,Seasons (Waiting On You),Future Islands
1642,Creep,Radiohead
1643,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1644,Paranoid,Black Sabbath
1645,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1646,Kashmir - 1990 Remaster,Led Zeppelin
1647,Walk This Way (feat. Aerosmith),Run–D.M.C.
1648,Like a Prayer,Madonna
1649,Marquee Moon - 2003 Remaster,Television
1650,Hotline Bling,Drake
1651,Live Forever,Oasis
1652,Time to Pretend,MGMT
1653,When a Man Loves a Woman,Percy Sledge
1654,Brown Sugar,The Rolling Stones
1655,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1656,Tomorrow Never Knows - Remastered,The Beatles
1657,This Land is Your Land,Woody Guthrie
1658,"Oh, Pretty Woman",Roy Orbison
1659,Jailhouse Rock,Elvis Presley
1660,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1661,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1662,Like a Virgin,Madonna
1663,Into the Groove,Madonna
1664,Let It Happen,Tame Impala
1665,Cranes in the Sky,Solange
1666,Song 2 - 2012 Remaster,Blur
1667,Purple Rain,Prince
1668,Wuthering Heights,Kate Bush
1669,Born In The U.S.A.,Bruce Springsteen
1670,Kids,MGMT
1671,"Nuthin' But A ""G"" Thang",Dr. Dre
1672,Peggy Sue - Single Version,Buddy Holly
1673,White Rabbit,Jefferson Airplane
1674,Kiss,Prince
1675,Sunday Bloody Sunday,U2
1676,Psycho Killer - 2005 Remaster,Talking Heads
1677,Tainted Love,Soft Cell
1678,Little Red Corvette,Prince
1679,Family Affair - Single Version,Sly & The Family Stone
1680,Can't Get You out of My Head,Kylie Minogue
1681,Honky Tonk Women - Mono Version,The Rolling Stones
1682,Your Best American Girl,Mitski
1683,Autobahn - 2009 Remaster,Kraftwerk
1684,My Girls,Animal Collective
1685,Eleanor Rigby - Remastered,The Beatles
1686,Get It On,T. Rex
1687,There She Goes,The La's
1688,Help! - Remastered,The Beatles
1689,House Of Jealous Lovers,The Rapture
1690,Last Nite,The Strokes
1691,Le Freak,CHIC
1692,Won't Get Fooled Again - Original Album Version,The Who
1693,In My Life - Remastered,The Beatles
1694,Hurt,Johnny Cash
1695,Ms. Jackson,Outkast
1696,Walk on By,Dionne Warwick
1697,Folsom Prison Blues,Johnny Cash
1698,Sign 'O' the Times - Single Version,Prince
1699,bad guy,Billie Eilish
1700,Heroin,The Velvet Underground
1701,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1702,Thunder Road,Bruce Springsteen
1703,One,U2
1704,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1705,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1706,Yesterday - Remastered,The Beatles
1707,Dancing Queen,ABBA
1708,Summertime Blues,Eddie Cochran
1709,This Charming Man - 2011 Remaster,The Smiths
1710,Blue Suede Shoes,Carl Perkins
1711,Good Times,CHIC
1712,Pyramids,Frank Ocean
1713,My Girl - Single Version/Mono,The Temptations
1714,Paint It Black,The Rolling Stones
1715,Video Games,Lana Del Rey
1716,Rehab,Amy Winehouse
1717,Rapper's Delight - Long Version,The Sugarhill Gang
1718,The Sound of Silence - Electric Version,Simon & Garfunkel
1719,Fortunate Son,Creedence Clearwater Revival
1720,Papa's Got A Brand New Bag - Pt. 1,James Brown
1721,Bridge over Troubled Water,Simon & Garfunkel
1722,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1723,Proud Mary,Creedence Clearwater Revival
1724,Every Breath You Take - Remastered 2003,The Police
1725,Maybellene - Single Version,Chuck Berry
1726,A Whiter Shade Of Pale,Procol Harum
1727,Midnight City,M83
1728,Losing My Edge,LCD Soundsystem
1729,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1730,Eight Miles High,The Byrds
1731,Born Slippy (Nuxx),Underworld
1732,Great Balls Of Fire,Jerry Lee Lewis
1733,Green Onions,Booker T. & the M.G.'s
1734,Maps,Yeah Yeah Yeahs
1735,Umbrella,Rihanna
1736,She Loves You - Remastered,The Beatles
1737,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1738,Tangled up in Blue,Bob Dylan
1739,Maggie May,Rod Stewart
1740,Will You Still Love Me Tomorrow,The Shirelles
1741,Seasons (Waiting On You),Future Islands
1742,Creep,Radiohead
1743,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1744,Paranoid,Black Sabbath
