,Songs,Artists
0,Like a Rolling Stone,Bob Dylan
1,Smells Like Teen Spirit,Nirvana
2,A Day In The Life - Remastered,The Beatles
3,Good Vibrations (Mono),The Beach Boys
4,Johnny B Goode,Chuck Berry
5,Respect,Aretha Franklin
6,Be My Baby,The Ronettes
7,What's Going On,Marvin Gaye
8,I Heard It Through The Grapevine,Marvin Gaye
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones
10,Billie Jean,Michael Jackson
11,Heartbreak Hotel,Elvis Presley
12,Born to Run,Bruce Springsteen
13,My Generation - Original Mono Version,The Who
14,Love Will Tear Us Apart,Joy Division
15,God Only Knows - Mono / 1997 Remastered,The Beach Boys
16,(Sittin' On) the Dock of the Bay,Otis Redding
17,Hey Ya! - Radio Mix / Club Mix,Outkast
18,Anarchy In The UK - Remastered 2012,Sex Pistols
19,Paper Planes,M.I.A.
20,London Calling,The Clash
21,Sympathy For The Devil,The Rolling Stones
22,Strawberry Fields Forever - Remastered,The Beatles
23,Tutti Frutti,Little Richard
24,Stairway To Heaven,Led Zeppelin
25,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five
26,What'd I Say,Ray Charles & Friends
27,Imagine - Remastered 2010,John Lennon
28,A Change Is Gonna Come,Sam Cooke
29,Heroes - 1999 Remaster,David Bowie
30,When Doves Cry,Prince
31,Superstition,Stevie Wonder
32,Common People,Pulp
33,Gimme Shelter,The Rolling Stones
34,Strange Fruit,Billie Holiday
35,You Really Got Me,The Kinks
36,Crazy In Love (feat. Jay-Z),Beyoncé
37,Seven Nation Army,The White Stripes
38,Losing My Religion,R.E.M.
39,God Save The Queen,Sex Pistols
40,Bohemian Rhapsody - Remastered 2011,Queen
41,Blue Monday,New Order
42,Purple Haze,Jimi Hendrix
43,Louie Louie,The Kingsmen
44,I Want You Back,The Jackson 5
45,Crazy,Gnarls Barkley
46,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers
47,Hey Jude - Remastered,The Beatles
48,Waterloo Sunset - Stereo,The Kinks
49,Take Me Out,Franz Ferdinand
50,Get Ur Freak On,Missy Elliott
51,That'll Be the Day,Buddy Holly & The Crickets
52,Light My Fire,The Doors
53,I Feel Love,Donna Summer
54,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
55,Space Oddity - 2009 Remastered Version,David Bowie
56,Stand by Me,Ben E. King
57,Mr. Tambourine Man,The Byrds
58,Bitter Sweet Symphony,The Verve
59,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets
60,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos
61,River Deep - Mountain High,Ike & Tina Turner
62,Unfinished Sympathy - 2006 Digital Remaster,Massive Attack
63,Loser,Beck
64,Fight The Power,Public Enemy
65,Once in a Lifetime - 2005 Remaster,Talking Heads
66,Paranoid Android,Radiohead
67,Whole Lotta Love - Remaster,Led Zeppelin
68,Alright,Kendrick Lamar
69,House of the Rising Sun,The Animals
70,Walk on the Wild Side,Lou Reed
71,Hotel California,Eagles
72,99 Problems,JAY-Z
73,Dancing On My Own,Robyn
74,Formation,Beyoncé
75,Let's Stay Together,Al Green
76,Jumpin' Jack Flash,The Rolling Stones
77,All My Friends,LCD Soundsystem
78,California Dreamin',The Mamas & The Papas
79,Blitzkrieg Bop - 2001 Remaster,Ramones
80,Dancing In The Street,Various Artists
81,Hound Dog,Elvis Presley
82,Oblivion,Grimes
83,I Want To Hold Your Hand - Remastered,The Beatles
84,All Along the Watchtower,Jimi Hendrix
85,Nothing Compares 2 U,Sinéad O'Connor
86,How Soon Is Now? - 2011 Remaster,The Smiths
87,Sweet Child O' Mine,Guns N' Roses
88,For What It's Worth,Buffalo Springfield
89,The Weight - Remastered,The Band
90,Runaway,Kanye West
91,Ghost Town - Extended Version,The Specials
92,Royals,Lorde
93,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk
94,Suspicious Minds,Elvis Presley
95,Life On Mars? - 1999 Remastered Version,David Bowie
96,Reach Out I'll Be There - Single Version / Mono,Four Tops
97,That's All Right Mama,Elvis Presley
98,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown
99,Wonderwall,Oasis
100,Heroin,The Velvet Underground
101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
102,Thunder Road,Bruce Springsteen
103,One,U2
104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
106,Yesterday - Remastered,The Beatles
107,Dancing Queen,ABBA
108,Summertime Blues,Eddie Cochran
109,This Charming Man - 2011 Remaster,The Smiths
110,Blue Suede Shoes,Carl Perkins
111,Good Times,CHIC
112,Pyramids,Frank Ocean
113,My Girl - Single Version/Mono,The Temptations
114,Paint It Black,The Rolling Stones
115,Video Games,Lana Del Rey
116,Rehab,Amy Winehouse
117,Rapper's Delight - Long Version,The Sugarhill Gang
118,The Sound of Silence - Electric Version,Simon & Garfunkel
119,Fortunate Son,Creedence Clearwater Revival
120,Papa's Got A Brand New Bag - Pt. 1,James Brown
121,Bridge over Troubled Water,Simon & Garfunkel
122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
123,Proud Mary,Creedence Clearwater Revival
124,Every Breath You Take - Remastered 2003,The Police
125,Maybellene - Single Version,Chuck Berry
126,A Whiter Shade Of Pale,Procol Harum
127,Midnight City,M83
128,Losing My Edge,LCD Soundsystem
129,I'm So Lonesome I Could Cry - Single Version,Hank Williams
130,Eight Miles High,The Byrds
131,Born Slippy (Nuxx),Underworld
132,Great Balls Of Fire,Jerry Lee Lewis
133,Green Onions,Booker T. & the M.G.'s
134,Maps,Yeah Yeah Yeahs
135,Umbrella,Rihanna
136,She Loves You - Remastered,The Beatles
137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
138,Tangled up in Blue,Bob Dylan
139,Maggie May,Rod Stewart
140,Will You Still Love Me Tomorrow,The Shirelles
141,Seasons (Waiting On You),Future Islands
142,Creep,Radiohead
143,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
144,Paranoid,Black Sabbath
145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
146,Kashmir - 1990 Remaster,Led Zeppelin
147,Walk This Way (feat. Aerosmith),Run–D.M.C.
148,Like a Prayer,Madonna
149,Marquee Moon - 2003 Remaster,Television
150,Hotline Bling,Drake
151,Live Forever,Oasis
152,Time to Pretend,MGMT
153,When a Man Loves a Woman,Percy Sledge
154,Brown Sugar,The Rolling Stones
155,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
156,Tomorrow Never Knows - Remastered,The Beatles
157,This Land is Your Land,Woody Guthrie
158,"Oh, Pretty Woman",Roy Orbison
159,Jailhouse Rock,Elvis Presley
160,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
161,I Bet You Look Good On The Dancefloor,Arctic Monkeys
162,Like a Virgin,Madonna
163,Into the Groove,Madonna
164,Let It Happen,Tame Impala
165,Cranes in the Sky,Solange
166,Song 2 - 2012 Remaster,Blur
167,Purple Rain,Prince
168,Wuthering Heights,Kate Bush
169,Born In The U.S.A.,Bruce Springsteen
170,Kids,MGMT
171,"Nuthin' But A ""G"" Thang",Dr. Dre
172,Peggy Sue - Single Version,Buddy Holly
173,White Rabbit,Jefferson Airplane
174,Kiss,Prince
175,Sunday Bloody Sunday,U2
176,Psycho Killer - 2005 Remaster,Talking Heads
177,Tainted Love,Soft Cell
178,Little Red Corvette,Prince
179,Family Affair - Single Version,Sly & The Family Stone
180,Can't Get You out of My Head,Kylie Minogue
181,Honky Tonk Women - Mono Version,The Rolling Stones
182,Your Best American Girl,Mitski
183,Autobahn - 2009 Remaster,Kraftwerk
184,My Girls,Animal Collective
185,Eleanor Rigby - Remastered,The Beatles
186,Get It On,T. Rex
187,There She Goes,The La's
188,Help! - Remastered,The Beatles
189,House Of Jealous Lovers,The Rapture
190,Last Nite,The Strokes
191,Le Freak,CHIC
192,Won't Get Fooled Again - Original Album Version,The Who
193,In My Life - Remastered,The Beatles
194,Hurt,Johnny Cash
195,Ms. Jackson,Outkast
196,Walk on By,Dionne Warwick
197,Folsom Prison Blues,Johnny Cash
198,Sign 'O' the Times - Single Version,Prince
199,bad guy,Billie Eilish
200,Heroin,The Velvet Underground
201,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
202,Thunder Road,Bruce Springsteen
203,One,U2
204,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
205,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
206,Yesterday - Remastered,The Beatles
207,Dancing Queen,ABBA
208,Summertime Blues,Eddie Cochran
209,This Charming Man - 2011 Remaster,The Smiths
210,Blue Suede Shoes,Carl Perkins
211,Good Times,CHIC
212,Pyramids,Frank Ocean
213,My Girl - Single Version/Mono,The Temptations
214,Paint It Black,The Rolling Stones
215,Video Games,Lana Del Rey
216,Rehab,Amy Winehouse
217,Rapper's Delight - Long Version,The Sugarhill Gang
218,The Sound of Silence - Electric Version,Simon & Garfunkel
219,Fortunate Son,Creedence Clearwater Revival
220,Papa's Got A Brand New Bag - Pt. 1,James Brown
221,Bridge over Troubled Water,Simon & Garfunkel
222,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
223,Proud Mary,Creedence Clearwater Revival
224,Every Breath You Take - Remastered 2003,The Police
225,Maybellene - Single Version,Chuck Berry
226,A Whiter Shade Of Pale,Procol Harum
227,Midnight City,M83
228,Losing My Edge,LCD Soundsystem
229,I'm So Lonesome I Could Cry - Single Version,Hank Williams
230,Eight Miles High,The Byrds
231,Born Slippy (Nuxx),Underworld
232,Great Balls Of Fire,Jerry Lee Lewis
233,Green Onions,Booker T. & the M.G.'s
234,Maps,Yeah Yeah Yeahs
235,Umbrella,Rihanna
236,She Loves You - Remastered,The Beatles
237,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
238,Tangled up in Blue,Bob Dylan
239,Maggie May,Rod Stewart
240,Will You Still Love Me Tomorrow,The Shirelles
241,Seasons (Waiting On You),Future Islands
242,Creep,Radiohead
243,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
244,Paranoid,Black Sabbath
245,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
246,Kashmir - 1990 Remaster,Led Zeppelin
247,Walk This Way (feat. Aerosmith),Run–D.M.C.
248,Like a Prayer,Madonna
249,Marquee Moon - 2003 Remaster,Television
250,Hotline Bling,Drake
251,Live Forever,Oasis
252,Time to Pretend,MGMT
253,When a Man Loves a Woman,Percy Sledge
254,Brown Sugar,The Rolling Stones
255,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
256,Tomorrow Never Knows - Remastered,The Beatles
257,This Land is Your Land,Woody Guthrie
258,"Oh, Pretty Woman",Roy Orbison
259,Jailhouse Rock,Elvis Presley
260,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
261,I Bet You Look Good On The Dancefloor,Arctic Monkeys
262,Like a Virgin,Madonna
263,Into the Groove,Madonna
264,Let It Happen,Tame Impala
265,Cranes in the Sky,Solange
266,Song 2 - 2012 Remaster,Blur
267,Purple Rain,Prince
268,Wuthering Heights,Kate Bush
269,Born In The U.S.A.,Bruce Springsteen
270,Kids,MGMT
271,"Nuthin' But A ""G"" Thang",Dr. Dre
272,Peggy Sue - Single Version,Buddy Holly
273,White Rabbit,Jefferson Airplane
274,Kiss,Prince
275,Sunday Bloody Sunday,U2
276,Psycho Killer - 2005 Remaster,Talking Heads
277,Tainted Love,Soft Cell
278,Little Red Corvette,Prince
279,Family Affair - Single Version,Sly & The Family Stone
280,Can't Get You out of My Head,Kylie Minogue
281,Honky Tonk Women - Mono Version,The Rolling Stones
282,Your Best American Girl,Mitski
283,Autobahn - 2009 Remaster,Kraftwerk
284,My Girls,Animal Collective
285,Eleanor Rigby - Remastered,The Beatles
286,Get It On,T. Rex
287,There She Goes,The La's
288,Help! - Remastered,The Beatles
289,House Of Jealous Lovers,The Rapture
290,Last Nite,The Strokes
291,Le Freak,CHIC
292,Won't Get Fooled Again - Original Album Version,The Who
293,In My Life - Remastered,The Beatles
294,Hurt,Johnny Cash
295,Ms. Jackson,Outkast
296,Walk on By,Dionne Warwick
297,Folsom Prison Blues,Johnny Cash
298,Sign 'O' the Times - Single Version,Prince
299,bad guy,Billie Eilish
300,Heroin,The Velvet Underground
301,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
302,Thunder Road,Bruce Springsteen
303,One,U2
304,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
305,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
306,Yesterday - Remastered,The Beatles
307,Dancing Queen,ABBA
308,Summertime Blues,Eddie Cochran
309,This Charming Man - 2011 Remaster,The Smiths
310,Blue Suede Shoes,Carl Perkins
311,Good Times,CHIC
312,Pyramids,Frank Ocean
313,My Girl - Single Version/Mono,The Temptations
314,Paint It Black,The Rolling Stones
315,Video Games,Lana Del Rey
316,Rehab,Amy Winehouse
317,Rapper's Delight - Long Version,The Sugarhill Gang
318,The Sound of Silence - Electric Version,Simon & Garfunkel
319,Fortunate Son,Creedence Clearwater Revival
320,Papa's Got A Brand New Bag - Pt. 1,James Brown
321,Bridge over Troubled Water,Simon & Garfunkel
322,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
323,Proud Mary,Creedence Clearwater Revival
324,Every Breath You Take - Remastered 2003,The Police
325,Maybellene - Single Version,Chuck Berry
326,A Whiter Shade Of Pale,Procol Harum
327,Midnight City,M83
328,Losing My Edge,LCD Soundsystem
329,I'm So Lonesome I Could Cry - Single Version,Hank Williams
330,Eight Miles High,The Byrds
331,Born Slippy (Nuxx),Underworld
332,Great Balls Of Fire,Jerry Lee Lewis
333,Green Onions,Booker T. & the M.G.'s
334,Maps,Yeah Yeah Yeahs
335,Umbrella,Rihanna
336,She Loves You - Remastered,The Beatles
337,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
338,Tangled up in Blue,Bob Dylan
339,Maggie May,Rod Stewart
340,Will You Still Love Me Tomorrow,The Shirelles
341,Seasons (Waiting On You),Future Islands
342,Creep,Radiohead
343,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
344,Paranoid,Black Sabbath
345,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
346,Kashmir - 1990 Remaster,Led Zeppelin
347,Walk This Way (feat. Aerosmith),Run–D.M.C.
348,Like a Prayer,Madonna
349,Marquee Moon - 2003 Remaster,Television
350,Hotline Bling,Drake
351,Live Forever,Oasis
352,Time to Pretend,MGMT
353,When a Man Loves a Woman,Percy Sledge
354,Brown Sugar,The Rolling Stones
355,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
356,Tomorrow Never Knows - Remastered,The Beatles
357,This Land is Your Land,Woody Guthrie
358,"Oh, Pretty Woman",Roy Orbison
359,Jailhouse Rock,Elvis Presley
360,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
361,I Bet You Look Good On The Dancefloor,Arctic Monkeys
362,Like a Virgin,Madonna
363,Into the Groove,Madonna
364,Let It Happen,Tame Impala
365,Cranes in the Sky,Solange
366,Song 2 - 2012 Remaster,Blur
367,Purple Rain,Prince
368,Wuthering Heights,Kate Bush
369,Born In The U.S.A.,Bruce Springsteen
370,Kids,MGMT
371,"Nuthin' But A ""G"" Thang",Dr. Dre
372,Peggy Sue - Single Version,Buddy Holly
373,White Rabbit,Jefferson Airplane
374,Kiss,Prince
375,Sunday Bloody Sunday,U2
376,Psycho Killer - 2005 Remaster,Talking Heads
377,Tainted Love,Soft Cell
378,Little Red Corvette,Prince
379,Family Affair - Single Version,Sly & The Family Stone
380,Can't Get You out of My Head,Kylie Minogue
381,Honky Tonk Women - Mono Version,The Rolling Stones
382,Your Best American Girl,Mitski
383,Autobahn - 2009 Remaster,Kraftwerk
384,My Girls,Animal Collective
385,Eleanor Rigby - Remastered,The Beatles
386,Get It On,T. Rex
387,There She Goes,The La's
388,Help! - Remastered,The Beatles
389,House Of Jealous Lovers,The Rapture
390,Last Nite,The Strokes
391,Le Freak,CHIC
392,Won't Get Fooled Again - Original Album Version,The Who
393,In My Life - Remastered,The Beatles
394,Hurt,Johnny Cash
395,Ms. Jackson,Outkast
396,Walk on By,Dionne Warwick
397,Folsom Prison Blues,Johnny Cash
398,Sign 'O' the Times - Single Version,Prince
399,bad guy,Billie Eilish
400,Heroin,The Velvet Underground
401,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
402,Thunder Road,Bruce Springsteen
403,One,U2
404,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
405,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
406,Yesterday - Remastered,The Beatles
407,Dancing Queen,ABBA
408,Summertime Blues,Eddie Cochran
409,This Charming Man - 2011 Remaster,The Smiths
410,Blue Suede Shoes,Carl Perkins
411,Good Times,CHIC
412,Pyramids,Frank Ocean
413,My Girl - Single Version/Mono,The Temptations
414,Paint It Black,The Rolling Stones
415,Video Games,Lana Del Rey
416,Rehab,Amy Winehouse
417,Rapper's Delight - Long Version,The Sugarhill Gang
418,The Sound of Silence - Electric Version,Simon & Garfunkel
419,Fortunate Son,Creedence Clearwater Revival
420,Papa's Got A Brand New Bag - Pt. 1,James Brown
421,Bridge over Troubled Water,Simon & Garfunkel
422,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
423,Proud Mary,Creedence Clearwater Revival
424,Every Breath You Take - Remastered 2003,The Police
425,Maybellene - Single Version,Chuck Berry
426,A Whiter Shade Of Pale,Procol Harum
427,Midnight City,M83
428,Losing My Edge,LCD Soundsystem
429,I'm So Lonesome I Could Cry - Single Version,Hank Williams
430,Eight Miles High,The Byrds
431,Born Slippy (Nuxx),Underworld
432,Great Balls Of Fire,Jerry Lee Lewis
433,Green Onions,Booker T. & the M.G.'s
434,Maps,Yeah Yeah Yeahs
435,Umbrella,Rihanna
436,She Loves You - Remastered,The Beatles
437,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
438,Tangled up in Blue,Bob Dylan
439,Maggie May,Rod Stewart
440,Will You Still Love Me Tomorrow,The Shirelles
441,Seasons (Waiting On You),Future Islands
442,Creep,Radiohead
443,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
444,Paranoid,Black Sabbath
445,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
446,Kashmir - 1990 Remaster,Led Zeppelin
447,Walk This Way (feat. Aerosmith),Run–D.M.C.
448,Like a Prayer,Madonna
449,Marquee Moon - 2003 Remaster,Television
450,Hotline Bling,Drake
451,Live Forever,Oasis
452,Time to Pretend,MGMT
453,When a Man Loves a Woman,Percy Sledge
454,Brown Sugar,The Rolling Stones
455,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
456,Tomorrow Never Knows - Remastered,The Beatles
457,This Land is Your Land,Woody Guthrie
458,"Oh, Pretty Woman",Roy Orbison
459,Jailhouse Rock,Elvis Presley
460,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
461,I Bet You Look Good On The Dancefloor,Arctic Monkeys
462,Like a Virgin,Madonna
463,Into the Groove,Madonna
464,Let It Happen,Tame Impala
465,Cranes in the Sky,Solange
466,Song 2 - 2012 Remaster,Blur
467,Purple Rain,Prince
468,Wuthering Heights,Kate Bush
469,Born In The U.S.A.,Bruce Springsteen
470,Kids,MGMT
471,"Nuthin' But A ""G"" Thang",Dr. Dre
472,Peggy Sue - Single Version,Buddy Holly
473,White Rabbit,Jefferson Airplane
474,Kiss,Prince
475,Sunday Bloody Sunday,U2
476,Psycho Killer - 2005 Remaster,Talking Heads
477,Tainted Love,Soft Cell
478,Little Red Corvette,Prince
479,Family Affair - Single Version,Sly & The Family Stone
480,Can't Get You out of My Head,Kylie Minogue
481,Honky Tonk Women - Mono Version,The Rolling Stones
482,Your Best American Girl,Mitski
483,Autobahn - 2009 Remaster,Kraftwerk
484,My Girls,Animal Collective
485,Eleanor Rigby - Remastered,The Beatles
486,Get It On,T. Rex
487,There She Goes,The La's
488,Help! - Remastered,The Beatles
489,House Of Jealous Lovers,The Rapture
490,Last Nite,The Strokes
491,Le Freak,CHIC
492,Won't Get Fooled Again - Original Album Version,The Who
493,In My Life - Remastered,The Beatles
494,Hurt,Johnny Cash
495,Ms. Jackson,Outkast
496,Walk on By,Dionne Warwick
497,Folsom Prison Blues,Johnny Cash
498,Sign 'O' the Times - Single Version,Prince
499,bad guy,Billie Eilish
500,Heroin,The Velvet Underground
501,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
502,Thunder Road,Bruce Springsteen
503,One,U2
504,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
505,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
506,Yesterday - Remastered,The Beatles
507,Dancing Queen,ABBA
508,Summertime Blues,Eddie Cochran
509,This Charming Man - 2011 Remaster,The Smiths
510,Blue Suede Shoes,Carl Perkins
511,Good Times,CHIC
512,Pyramids,Frank Ocean
513,My Girl - Single Version/Mono,The Temptations
514,Paint It Black,The Rolling Stones
515,Video Games,Lana Del Rey
516,Rehab,Amy Winehouse
517,Rapper's Delight - Long Version,The Sugarhill Gang
518,The Sound of Silence - Electric Version,Simon & Garfunkel
519,Fortunate Son,Creedence Clearwater Revival
520,Papa's Got A Brand New Bag - Pt. 1,James Brown
521,Bridge over Troubled Water,Simon & Garfunkel
522,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
523,Proud Mary,Creedence Clearwater Revival
524,Every Breath You Take - Remastered 2003,The Police
525,Maybellene - Single Version,Chuck Berry
526,A Whiter Shade Of Pale,Procol Harum
527,Midnight City,M83
528,Losing My Edge,LCD Soundsystem
529,I'm So Lonesome I Could Cry - Single Version,Hank Williams
530,Eight Miles High,The Byrds
531,Born Slippy (Nuxx),Underworld
532,Great Balls Of Fire,Jerry Lee Lewis
533,Green Onions,Booker T. & the M.G.'s
534,Maps,Yeah Yeah Yeahs
535,Umbrella,Rihanna
536,She Loves You - Remastered,The Beatles
537,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
538,Tangled up in Blue,Bob Dylan
539,Maggie May,Rod Stewart
540,Will You Still Love Me Tomorrow,The Shirelles
541,Seasons (Waiting On You),Future Islands
542,Creep,Radiohead
543,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
544,Paranoid,Black Sabbath
545,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
546,Kashmir - 1990 Remaster,Led Zeppelin
547,Walk This Way (feat. Aerosmith),Run–D.M.C.
548,Like a Prayer,Madonna
549,Marquee Moon - 2003 Remaster,Television
550,Hotline Bling,Drake
551,Live Forever,Oasis
552,Time to Pretend,MGMT
553,When a Man Loves a Woman,Percy Sledge
554,Brown Sugar,The Rolling Stones
555,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
556,Tomorrow Never Knows - Remastered,The Beatles
557,This Land is Your Land,Woody Guthrie
558,"Oh, Pretty Woman",Roy Orbison
559,Jailhouse Rock,Elvis Presley
560,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
561,I Bet You Look Good On The Dancefloor,Arctic Monkeys
562,Like a Virgin,Madonna
563,Into the Groove,Madonna
564,Let It Happen,Tame Impala
565,Cranes in the Sky,Solange
566,Song 2 - 2012 Remaster,Blur
567,Purple Rain,Prince
568,Wuthering Heights,Kate Bush
569,Born In The U.S.A.,Bruce Springsteen
570,Kids,MGMT
571,"Nuthin' But A ""G"" Thang",Dr. Dre
572,Peggy Sue - Single Version,Buddy Holly
573,White Rabbit,Jefferson Airplane
574,Kiss,Prince
575,Sunday Bloody Sunday,U2
576,Psycho Killer - 2005 Remaster,Talking Heads
577,Tainted Love,Soft Cell
578,Little Red Corvette,Prince
579,Family Affair - Single Version,Sly & The Family Stone
580,Can't Get You out of My Head,Kylie Minogue
581,Honky Tonk Women - Mono Version,The Rolling Stones
582,Your Best American Girl,Mitski
583,Autobahn - 2009 Remaster,Kraftwerk
584,My Girls,Animal Collective
585,Eleanor Rigby - Remastered,The Beatles
586,Get It On,T. Rex
587,There She Goes,The La's
588,Help! - Remastered,The Beatles
589,House Of Jealous Lovers,The Rapture
590,Last Nite,The Strokes
591,Le Freak,CHIC
592,Won't Get Fooled Again - Original Album Version,The Who
593,In My Life - Remastered,The Beatles
594,Hurt,Johnny Cash
595,Ms. Jackson,Outkast
596,Walk on By,Dionne Warwick
597,Folsom Prison Blues,Johnny Cash
598,Sign 'O' the Times - Single Version,Prince
599,bad guy,Billie Eilish
600,Heroin,The Velvet Underground
601,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
602,Thunder Road,Bruce Springsteen
603,One,U2
604,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
605,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
606,Yesterday - Remastered,The Beatles
607,Dancing Queen,ABBA
608,Summertime Blues,Eddie Cochran
609,This Charming Man - 2011 Remaster,The Smiths
610,Blue Suede Shoes,Carl Perkins
611,Good Times,CHIC
612,Pyramids,Frank Ocean
613,My Girl - Single Version/Mono,The Temptations
614,Paint It Black,The Rolling Stones
615,Video Games,Lana Del Rey
616,Rehab,Amy Winehouse
617,Rapper's Delight - Long Version,The Sugarhill Gang
618,The Sound of Silence - Electric Version,Simon & Garfunkel
619,Fortunate Son,Creedence Clearwater Revival
620,Papa's Got A Brand New Bag - Pt. 1,James Brown
621,Bridge over Troubled Water,Simon & Garfunkel
622,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
623,Proud Mary,Creedence Clearwater Revival
624,Every Breath You Take - Remastered 2003,The Police
625,Maybellene - Single Version,Chuck Berry
626,A Whiter Shade Of Pale,Procol Harum
627,Midnight City,M83
628,Losing My Edge,LCD Soundsystem
629,I'm So Lonesome I Could Cry - Single Version,Hank Williams
630,Eight Miles High,The Byrds
631,Born Slippy (Nuxx),Underworld
632,Great Balls Of Fire,Jerry Lee Lewis
633,Green Onions,Booker T. & the M.G.'s
634,Maps,Yeah Yeah Yeahs
635,Umbrella,Rihanna
636,She Loves You - Remastered,The Beatles
637,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
638,Tangled up in Blue,Bob Dylan
639,Maggie May,Rod Stewart
640,Will You Still Love Me Tomorrow,The Shirelles
641,Seasons (Waiting On You),Future Islands
642,Creep,Radiohead
643,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
644,Paranoid,Black Sabbath
645,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
646,Kashmir - 1990 Remaster,Led Zeppelin
647,Walk This Way (feat. Aerosmith),Run–D.M.C.
648,Like a Prayer,Madonna
649,Marquee Moon - 2003 Remaster,Television
650,Hotline Bling,Drake
651,Live Forever,Oasis
652,Time to Pretend,MGMT
653,When a Man Loves a Woman,Percy Sledge
654,Brown Sugar,The Rolling Stones
655,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
656,Tomorrow Never Knows - Remastered,The Beatles
657,This Land is Your Land,Woody Guthrie
658,"Oh, Pretty Woman",Roy Orbison
659,Jailhouse Rock,Elvis Presley
660,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
661,I Bet You Look Good On The Dancefloor,Arctic Monkeys
662,Like a Virgin,Madonna
663,Into the Groove,Madonna
664,Let It Happen,Tame Impala
665,Cranes in the Sky,Solange
666,Song 2 - 2012 Remaster,Blur
667,Purple Rain,Prince
668,Wuthering Heights,Kate Bush
669,Born In The U.S.A.,Bruce Springsteen
670,Kids,MGMT
