,Danceability,Key,Loudness,Speechiness,Instrumentalness,Liveness,Valence,Tempo
90,0.529,6,-6.174,0.0278,1.24e-05,0.142,0.514,139.993
91,0.554,5,-8.959,0.186,1.32e-05,0.124,0.136,105.865
92,0.556,7,-8.15,0.102,0.00468,0.155,0.367,149.147
93,0.787,0,-7.094,0.0532,4.55e-05,0.122,0.222,93.05
94,0.663,11,-3.51,0.195,0.0,0.219,0.579,196.12
95,0.71,1,-4.725,0.0726,0.0,0.168,0.316,128.027
96,0.539,10,-6.05,0.0288,0.0,0.174,0.227,101.358
97,0.919,7,-6.521,0.0992,1.63e-05,0.0609,0.775,130.037
98,0.791,10,-5.62,0.0645,1.85e-05,0.126,0.559,85.004
99,0.556,1,-5.391,0.428,0.0,0.196,0.788,109.168
100,0.482,0,-6.839,0.0321,0.0,0.189,0.557,95.263
101,0.485,1,-9.027,0.0495,0.0162,0.138,0.767,116.835
102,0.364,4,-14.162,0.0675,0.000106,0.922,0.175,163.219
103,0.398,1,-10.934,0.0388,2.54e-05,0.0891,0.331,133.574
104,0.518,10,-10.851,0.0915,6.2e-05,0.317,0.968,166.429
105,0.805,0,-5.226,0.041,2.2e-05,0.0546,0.965,114.95
106,0.511,4,-7.032,0.042,0.0,0.0921,0.818,129.657
107,0.282,1,-9.632,0.0985,0.0,0.399,0.83,201.958
108,0.729,8,-13.017,0.0393,0.0,0.101,0.679,116.855
109,0.725,2,-7.842,0.0353,0.127,0.196,0.904,136.282
110,0.92,11,-3.051,0.0401,0.0158,0.0359,0.847,117.046
111,0.688,4,-11.476,0.0619,2.1e-06,0.0974,0.701,93.551
112,0.253,4,-9.773,0.073,0.0,0.214,0.68,146.647
113,0.332,0,-6.558,0.0988,9.33e-05,0.161,0.745,96.253
114,0.443,2,-6.198,0.0511,0.825,0.135,0.909,146.754
115,0.521,6,-7.525,0.0299,0.0,0.0579,0.483,117.072
116,0.484,2,-13.522,0.0535,1.65e-06,0.0601,0.598,205.981
117,0.719,0,-2.435,0.0552,0.000249,0.206,0.964,79.505
118,0.359,0,-7.649,0.101,0.000396,0.236,0.212,134.118
119,0.541,2,-6.196,0.155,0.000125,0.651,0.454,86.044
120,0.653,0,-6.958,0.048,0.0,0.0847,0.726,133.725
121,0.566,9,-10.814,0.306,1.13e-06,0.0438,0.583,114.385
122,0.39,10,-12.277,0.178,0.000138,0.0713,0.289,97.871
123,0.532,0,-3.81,0.0591,0.0,0.0647,0.962,184.4
124,0.346,7,-12.453,0.0339,0.00674,0.185,0.213,84.204
125,0.947,10,-10.58,0.202,4.76e-06,0.0861,0.732,100.619
126,0.506,4,-11.278,0.0708,2.31e-05,0.248,0.789,89.023
127,0.547,0,-12.358,0.0252,0.183,0.0935,0.169,75.752
128,0.214,10,-10.042,0.0342,0.0,0.325,0.508,169.683
129,0.478,7,-6.977,0.0292,0.585,0.191,0.429,112.577
130,0.729,9,-4.613,0.049,4.45e-05,0.443,0.84,126.47
131,0.609,1,-11.496,0.0695,0.00221,0.071,0.872,100.607
132,0.319,0,-7.341,0.0404,7.99e-05,0.0764,0.538,144.938
133,0.63,1,-8.128,0.0309,0.0408,0.173,0.509,118.65
134,0.304,10,-15.835,0.0313,0.000291,0.177,0.0608,81.02
135,0.571,1,-8.208,0.0907,1.19e-06,0.0802,0.958,137.43
136,0.646,2,-6.596,0.226,0.0,0.0715,0.681,99.165
137,0.745,4,-7.62,0.0864,0.35,0.272,0.303,123.889
138,0.672,9,-5.992,0.0285,0.0,0.135,0.82,125.437
139,0.304,9,-7.756,0.0602,0.000376,0.158,0.541,147.199
140,0.414,0,-9.928,0.0499,0.0,0.3,0.224,71.105
141,0.757,0,-7.873,0.0512,0.831,0.112,0.918,130.505
142,0.533,2,-5.27,0.0754,0.578,0.0698,0.486,108.9
143,0.623,1,-9.818,0.0636,0.0,0.0967,0.948,122.394
144,0.639,8,-13.534,0.0394,9.68e-05,0.366,0.887,98.359
145,0.855,8,-4.589,0.0336,0.00714,0.105,0.64,111.97
146,0.357,1,-9.702,0.0269,0.0,0.099,0.324,94.211
147,0.394,10,-9.435,0.0261,3.64e-05,0.101,0.631,148.029
148,0.517,1,-7.273,0.0246,0.0,0.172,0.476,107.958
149,0.273,9,-8.795,0.0382,0.000893,0.117,0.514,104.656
150,0.78,0,-6.653,0.209,0.134,0.122,0.668,177.835
151,0.654,9,-8.053,0.0349,0.0,0.285,0.851,126.819
152,0.413,3,-5.787,0.0324,2.16e-05,0.0905,0.44,124.618
153,0.639,5,-16.098,0.0491,0.633,0.116,0.92,126.436
154,0.523,4,-5.855,0.0269,0.0,0.136,0.876,136.162
155,0.337,0,-15.091,0.0318,3.84e-05,0.202,0.497,136.264
156,0.632,9,-12.326,0.0318,4.95e-06,0.215,0.673,119.136
157,0.456,2,-9.564,0.0294,3.76e-05,0.444,0.639,120.336
