,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
1711,Bonita Applebum - includes 'Can I Kick It' Intro,A Tribe Called Quest,6Lamu5YqNiyjfpVRQ5tcNz,https://open.spotify.com/track/6Lamu5YqNiyjfpVRQ5tcNz,0.864,0.4,11,-14.382,1,0.236,0.00639,0.469,0.569,91.903,229640,4
1712,Kaputt,Destroyer,0hvcIDobOkiw5Xq1SK3dbj,https://open.spotify.com/track/0hvcIDobOkiw5Xq1SK3dbj,0.642,0.721,4,-8.926,1,0.0341,0.142,0.185,0.581,109.992,377987,4
1713,Last Night a D.J. Saved My Life,Various Artists,34jtsFqKNRSJFa0r6ZRqQh,https://open.spotify.com/track/34jtsFqKNRSJFa0r6ZRqQh,0.849,0.657,11,-7.509,1,0.205,2.93e-05,0.117,0.864,112.682,252653,4
1714,Nowhere Man - Remastered,The Beatles,1OpY6W5UY8xkfrnl3hlMJy,https://open.spotify.com/track/1OpY6W5UY8xkfrnl3hlMJy,0.534,0.624,4,-9.589,1,0.0462,0.0,0.128,0.687,121.402,163693,4
1715,Being Boiled,The Human League,09yrXaFbDJI4hKuBB6lLIU,https://open.spotify.com/track/09yrXaFbDJI4hKuBB6lLIU,0.727,0.751,9,-12.35,1,0.0389,0.0199,0.114,0.312,102.871,219307,4
1716,Albatross,Various Artists,7dwe7UxhEJ0pJWaToxLrE8,https://open.spotify.com/track/7dwe7UxhEJ0pJWaToxLrE8,0.253,0.0353,6,-22.412,0,0.0398,0.89,0.137,0.24,202.719,189307,3
1717,Hearts On Fire,Cut Copy,5J2aWRLoOL57CUkkzZjZWy,https://open.spotify.com/track/5J2aWRLoOL57CUkkzZjZWy,0.558,0.957,10,-3.999,0,0.0488,0.871,0.231,0.683,124.977,292547,4
1718,Golden Brown,The Stranglers,2AX5E86cn9n2dgioZEjirI,https://open.spotify.com/track/2AX5E86cn9n2dgioZEjirI,0.562,0.383,6,-15.474,1,0.0304,0.124,0.138,0.599,93.764,206760,3
1719,Unbelievable,EMF,2ENmkocNNewTRbuNd6WJpR,https://open.spotify.com/track/2ENmkocNNewTRbuNd6WJpR,0.637,0.849,1,-6.855,1,0.0362,0.0386,0.141,0.936,104.074,209813,4
1720,First Day Of My Life,Bright Eyes,5OiaAaIMYlCZONyDBxqk4G,https://open.spotify.com/track/5OiaAaIMYlCZONyDBxqk4G,0.602,0.201,4,-17.024,1,0.0363,8.28e-05,0.0952,0.385,95.345,188800,4
1721,Bernadette,Four Tops,4j7Ehav8SUUgSePBptGxTi,https://open.spotify.com/track/4j7Ehav8SUUgSePBptGxTi,0.659,0.825,3,-7.559,1,0.0307,0.0,0.0736,0.688,111.031,185907,4
1722,Terraplane Blues,Robert Johnson,1NO53xWxenTo3UqnA7Z2os,https://open.spotify.com/track/1NO53xWxenTo3UqnA7Z2os,0.721,0.309,9,-9.229,1,0.089,0.0263,0.112,0.465,112.998,182073,4
1723,Hungry Like the Wolf - 2009 Remaster,Duran Duran,39lSeqnyjZJejRuaREfyLL,https://open.spotify.com/track/39lSeqnyjZJejRuaREfyLL,0.691,0.812,0,-7.772,1,0.0558,1.16e-06,0.299,0.685,127.568,220627,4
1724,Northern Sky,Nick Drake,7dGgCgyGJW0KUcRnxpq1Z8,https://open.spotify.com/track/7dGgCgyGJW0KUcRnxpq1Z8,0.539,0.261,5,-18.45,0,0.0393,0.785,0.128,0.466,89.837,223867,4
1725,Where's Your Head At,Basement Jaxx,25ys1lEf3z6lvkDEE5mG0R,https://open.spotify.com/track/25ys1lEf3z6lvkDEE5mG0R,0.604,0.924,0,-4.848,1,0.0303,0.119,0.332,0.411,127.862,283533,4
1726,Willie And The Hand Jive,Johnny Otis,4ToAe9XCKjFGin2Qfswwis,https://open.spotify.com/track/4ToAe9XCKjFGin2Qfswwis,0.778,0.814,6,-8.97,1,0.14,8.07e-06,0.18,0.921,98.857,154733,4
1727,Acid Tracks,Phuture,05kXJj11PCg7aIWvQxp683,https://open.spotify.com/track/05kXJj11PCg7aIWvQxp683,0.792,0.918,6,-14.205,1,0.0713,0.919,0.129,0.505,120.439,737173,4
1728,Two Sevens Clash,Culture,1uVFotQ3jGy50biSnRA2AK,https://open.spotify.com/track/1uVFotQ3jGy50biSnRA2AK,0.765,0.551,9,-8.64,0,0.083,0.0,0.0559,0.711,136.452,208053,4
1729,Day 'N' Nite (Nightmare),Kid Cudi,60PAzFNW3vAiAiVK6DRJfB,https://open.spotify.com/track/60PAzFNW3vAiAiVK6DRJfB,0.88,0.443,11,-6.359,0,0.0653,7.13e-06,0.122,0.803,138.018,221240,4
