,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
25,Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,1.18e-06,0.115,0.292,99.968,245940,4
26,Numb Little Bug,Em Beihold,3o9kpgkIcffx0iSwxhuNI2,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.0,0.25,0.638,84.974,169238,4
27,Like I Love Country Music,Kane Brown,3j1xkzTW8owIphkWV51V9s,https://open.spotify.com/track/3j1xkzTW8owIphkWV51V9s,0.542,0.82,8,-6.073,1,0.0432,0.000136,0.0561,0.702,124.85,234341,4
28,Shivers,Ed Sheeran,50nfwKoDiSYg8zOCREWAm5,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.0,0.0424,0.822,141.02,207853,4
29,5 Foot 9,Tyler Hubbard,6AqwH2Y9FJwhUE2dCSkw1u,https://open.spotify.com/track/6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.796,5,-5.609,1,0.0465,0.0,0.125,0.53,106.005,189780,4
30,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0hquQWY3xvYqN4qtiquniF,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF,0.801,0.601,8,-7.574,0,0.255,3.23e-05,0.145,0.74,159.969,182907,4
31,In A Minute,Lil Baby,3ihIZrJreMJPjQdNLrEXnP,https://open.spotify.com/track/3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0,0.112,0.145,84.216,200471,4
32,Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,3.39e-05,0.0894,0.793,91.942,138293,4
33,Cold Heart - PNAU Remix,Elton John,6zSpb8dQRaw0M1dK8PBwQz,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,4.19e-05,0.0952,0.942,116.032,202735,4
34,Rock and A Hard Place,Bailey Zimmerman,4686eQ81DEswHa90bcdlC9,https://open.spotify.com/track/4686eQ81DEswHa90bcdlC9,0.582,0.568,1,-7.3,1,0.0275,0.0,0.105,0.394,121.991,207541,3
35,Sticky,Drake,4rmVZajAF7PkrCagGPHbqa,https://open.spotify.com/track/4rmVZajAF7PkrCagGPHbqa,0.853,0.495,6,-14.63,1,0.14,0.000217,0.0844,0.0774,137.027,243228,4
36,Umm Hmm,YoungBoy Never Broke Again,0UmMT7DNXCOJvSmXXGNG5b,https://open.spotify.com/track/0UmMT7DNXCOJvSmXXGNG5b,0.763,0.709,9,-5.748,1,0.199,0.0,0.123,0.277,160.16,132750,4
37,Fall In Love,Bailey Zimmerman,5gVCfYmQRPy1QJifP8f5gg,https://open.spotify.com/track/5gVCfYmQRPy1QJifP8f5gg,0.524,0.643,9,-6.055,1,0.0297,0.0,0.221,0.397,135.962,232059,4
38,Last Night Lonely,Jon Pardi,3SeeaIXnrCfT88vHVCRWHl,https://open.spotify.com/track/3SeeaIXnrCfT88vHVCRWHl,0.646,0.816,6,-2.65,1,0.0269,0.0,0.179,0.865,102.972,181991,4
39,Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,7,-8.797,0,0.0516,1.73e-05,0.0639,0.234,98.047,213061,4
40,PROVENZA,KAROL G,7dSZ6zGTQx66c2GF91xCrb,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.00823,0.11,0.53,111.005,210200,4
41,Something in the Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,8.35e-06,0.0954,0.148,175.212,228013,3
42,ALIEN SUPERSTAR,Beyoncé,1Hohk6AufHZOrrhMXZppax,https://open.spotify.com/track/1Hohk6AufHZOrrhMXZppax,0.545,0.641,10,-6.398,0,0.0998,6.59e-05,0.171,0.464,121.892,215460,4
43,Super Gremlin,Kodak Black,4A8cWXxKfIL3lAyUDzXbCF,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.0,0.357,0.106,72.993,200548,4
44,Betty (Get Money),Yung Gravy,4cacyP5c3PMlfnyjpg13xW,https://open.spotify.com/track/4cacyP5c3PMlfnyjpg13xW,0.723,0.772,1,-6.784,1,0.0792,1.15e-05,0.367,0.58,102.004,146471,4
45,I Know,YoungBoy Never Broke Again,7B1J53ECCbVKukD19Wyy5K,https://open.spotify.com/track/7B1J53ECCbVKukD19Wyy5K,0.569,0.389,3,-8.032,0,0.0449,0.0,0.118,0.565,140.181,150857,4
46,Home Ain't Home (feat. Rod Wave),YoungBoy Never Broke Again,0oPpchtgx4hZ2J246g5mqn,https://open.spotify.com/track/0oPpchtgx4hZ2J246g5mqn,0.773,0.602,0,-6.777,1,0.173,0.0,0.125,0.553,82.055,141166,4
47,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,0mBP9X2gPCuapvpZ7TGDk3,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,1.32e-05,0.0901,0.719,101.058,154487,4
48,F.N.F. (Let's Go),Hitkidd,1vrFJDrysqmsNAgyjBzx4f,https://open.spotify.com/track/1vrFJDrysqmsNAgyjBzx4f,0.864,0.476,1,-10.068,1,0.436,0.0,0.374,0.647,157.144,137580,4
49,CUFF IT,Beyoncé,1xzi1Jcr7mEi9K2RfzLOqS,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,9.69e-06,0.0698,0.642,115.042,225389,4
50,Son Of A Sinner,Jelly Roll,25VQoiuyc0HkC5FQTj1a8G,https://open.spotify.com/track/25VQoiuyc0HkC5FQTj1a8G,0.365,0.541,7,-7.489,1,0.0304,2.25e-06,0.281,0.329,86.041,232093,4
51,Damn Strait,Scotty McCreery,4jp9FimhP2bQ93vR0A5r7b,https://open.spotify.com/track/4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,4,-6.15,1,0.0295,5.52e-05,0.0675,0.48,144.022,230227,4
52,Hot Shit (feat. Ye & Lil Durk),Cardi B,3uJFmluXzYedoJcvhpC1AW,https://open.spotify.com/track/3uJFmluXzYedoJcvhpC1AW,0.878,0.685,9,-5.28,1,0.225,0.0,0.0753,0.523,157.003,211649,4
53,Take My Name,Parmalee,2afB4eV1KWBqLqFqME6PTh,https://open.spotify.com/track/2afB4eV1KWBqLqFqME6PTh,0.559,0.66,7,-4.143,1,0.0512,0.0,0.193,0.574,163.957,157907,4
54,Party,Bad Bunny,4tYFy8ALRjIZvnvSLw5lxN,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,9,-5.389,1,0.0897,0.000543,0.242,0.471,97.013,227629,4
55,Numb,Marshmello,10xV5l9nhLvFpR8mqzs0bL,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.0127,0.101,0.632,119.966,155589,4
56,Sleazy Flow (with Lil Baby) - Remix,SleazyWorld Go,5cx7vkF8BQ0iOsVpfvZbnz,https://open.spotify.com/track/5cx7vkF8BQ0iOsVpfvZbnz,0.869,0.298,2,-12.076,1,0.386,0.0,0.0753,0.178,77.47,161355,4
57,Ojitos Lindos,Bad Bunny,3k3NWokhRRkEPhCzPmV8TW,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,1.34e-06,0.528,0.268,79.928,258299,4
58,So Good,Halsey,6kxaaIeowajN7w21PfMLbu,https://open.spotify.com/track/6kxaaIeowajN7w21PfMLbu,0.576,0.627,3,-4.649,0,0.0449,0.0,0.181,0.311,164.998,176059,4
59,Después de la Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2,0.564,0.903,5,-3.221,1,0.307,0.0,0.175,0.607,78.293,230400,4
